,osmid,x,y,park
0,919629163,-0.19885100000000205,51.49924109999999,0
1,236910873,-0.1526673000000017,51.5036395,1
2,735009427,-0.15437420000000118,51.50785340000001,1
3,7567853633,-0.15849980000000014,51.5118212,1
4,8933084052,-0.16060360000000276,51.50251279999999,1
5,306461682,-0.17350520000000103,51.501802899999994,1
6,26374103,-0.16878800000000146,51.5123534,1
7,519998377,-0.17473510000000128,51.511754599999996,1
8,9385780198,-0.18491720000000003,51.5105315,1
9,86115403,-0.1841080000000004,51.50204479999999,1
10,3054882685,-0.18832080000000168,51.504139599999995,1
11,3663817094,-0.1872407000000019,51.52941909999999,2
12,727367076,-0.18775420000000256,51.531371299999996,2
13,21430128,-0.1891626000000008,51.52951540000001,2
14,2532779198,-0.19152110000000136,51.52863189999999,2
15,2532779964,-0.19120069999999956,51.5321421,2
16,2532779166,-0.1919857000000009,51.5285699,2
17,899374144,-0.19235170000000038,51.5317839,2
18,2532779296,-0.19250470000000205,51.52908269999998,2
19,1687546258,-0.19353950000000203,51.529375099999996,2
20,21524442,-0.19629310000000175,51.55649549999998,3
21,21036420,-0.14886360000000193,51.478027000000004,4
22,6387403972,-0.14929429999999969,51.48141569999999,4
23,9488014463,-0.1496724999999999,51.4831252,4
24,7839644347,-0.15641040000000098,51.47568880000001,4
25,12111746,-0.16452230000000073,51.47731069999999,4
26,6086076335,-0.16535290000000008,51.47960299999999,4
27,6434062515,-0.1660218000000015,51.48105949999999,4
28,812264821,-0.1390335000000011,51.5030094,5
29,25607097,-0.13999750000000152,51.50440189999999,5
30,5481399656,-0.14111080000000156,51.502177999999994,5
31,812249671,-0.14130870000000198,51.50561249999999,5
32,78594243,-0.14191210000000126,51.50233169999999,5
33,6342530974,-0.1426927000000014,51.50663589999999,5
34,361242424,-0.14453610000000175,51.505881499999994,5
35,849121952,-0.14616140000000064,51.5049192,5
36,6250236322,-0.1474796999999998,51.5044197,5
37,6250236322,-0.1474796999999998,51.5044197,5
38,849121957,-0.14861220000000233,51.503557,5
39,2205080270,-0.14942840000000104,51.503260399999995,5
40,34709161,-0.14711610000000322,51.52503509999998,6
41,4595403138,-0.1459196000000006,51.52765939999998,6
42,4544836447,-0.14584280000000213,51.528959999999984,6
43,106214,-0.14602170000000123,51.53047329999999,6
44,1427449254,-0.14723190000000141,51.5326101,6
45,101817,-0.14845630000000143,51.535224899999996,6
46,4544836433,-0.15291610000000114,51.5240163,6
47,7865584980,-0.15361470000000207,51.53633689999999,6
48,5214080612,-0.15446720000000036,51.52374749999999,6
49,485324292,-0.15581170000000164,51.53584279999999,6
50,295921952,-0.15898300000000026,51.52516609999999,6
51,9221397803,-0.15880860000000036,51.5350177,6
52,7707253630,-0.16163380000000185,51.527457399999996,6
53,9383554918,-0.1635248999999994,51.5286724,6
54,101849,-0.1642465000000012,51.532454699999995,6
55,1531593359,-0.16520380000000193,51.530555,6
56,666723,-0.15484460000000225,51.537421,7
57,4888688819,-0.15511330000000179,51.538540499999996,7
58,666707,-0.15784260000000125,51.540112199999996,7
59,666690,-0.15913490000000194,51.536544799999994,7
60,1235728878,-0.1592790000000024,51.5407745,7
61,907905298,-0.16070020000000074,51.536710799999994,7
62,80842690,-0.1607421000000024,51.541018499999986,7
63,877105432,-0.1612364000000029,51.541528299999996,7
64,293731972,-0.16153990000000215,51.53693559999999,7
65,4595468051,-0.16415650000000098,51.53803409999999,7
66,666711,-0.16460830000000182,51.540518999999996,7
67,201054,-0.1503916,51.56085169999999,8
68,248454567,-0.14944760000000096,51.5562625,8
69,208750,-0.1687623000000009,51.55806359999999,8
70,8916243,-0.12910420000000164,51.50340039999999,9
71,3783505030,-0.12936050000000088,51.504500799999995,9
72,603749189,-0.12971100000000213,51.502327699999995,9
