,osmid,y,x,street_count,highway,ref
40238,6471209635,51.5489732,-0.0772711,3,,
40239,6471209636,51.5487051,-0.0770588,3,,
40240,6471414749,51.5093745,-0.0550704,1,,
40241,6471414750,51.5092566,-0.0550029,3,,
40242,6471629218,51.5219683,-0.171709,1,,
40243,6471629235,51.5225156,-0.1708686,3,,
40244,6471629241,51.5222694,-0.1710494,3,,
40245,6472693454,51.5191207,-0.0594719,1,crossing,
40246,6473046338,51.5637749,-0.1070493,1,,
40247,6474240023,51.5038118,-0.1101985,3,,
40248,6475585993,51.4880346,-0.0584821,3,crossing,
40249,6475585995,51.4884608,-0.0577333,1,,
40250,6475585996,51.4884358,-0.0577482,1,,
40251,6476798603,51.4884106,-0.0567484,1,,
40252,6476818409,51.4820622,-0.0765111,3,,
40253,6476818411,51.4818765,-0.0787012,3,,
40254,6476818412,51.4817677,-0.0810036,1,,
40255,6480759311,51.4793554,-0.1280499,3,,
40256,6480759316,51.4796796,-0.1280938,3,,
40257,6480759320,51.4799876,-0.1282288,3,,
40258,6480759325,51.4792478,-0.1253686,1,,
40259,6480759326,51.4792734,-0.1255276,3,,
40260,6480759327,51.4793193,-0.1255152,1,,
40261,6480759328,51.4793201,-0.1268785,3,,
40262,6480759330,51.4791506,-0.1269427,3,,
40263,6480759331,51.4790631,-0.1261697,3,,
40264,6480759332,51.4787513,-0.1270939,3,,
40265,6480759333,51.4786542,-0.1264265,3,,
40266,6480759334,51.4784018,-0.1265799,3,,
40267,6480759335,51.4785915,-0.1273011,3,,
40268,6480759342,51.478474,-0.1280881,3,,
40269,6480759346,51.4786877,-0.1279027,3,,
40270,6480759352,51.4790399,-0.1278461,3,,
40271,6481733978,51.5327579,-0.1061833,3,,
40272,6481824008,51.5315531,-0.1273268,3,,
40273,6481977110,51.5221953,-0.1704406,3,,
40274,6481977111,51.522586,-0.1709667,3,,
40275,6481977112,51.5229237,-0.1703413,1,,
40276,6482077770,51.5228524,-0.1674084,3,,
40277,6482077771,51.5230814,-0.1669749,1,,
40278,6482702728,51.5356128,-0.1407138,3,,
40279,6482702729,51.5357769,-0.1408653,1,,
40280,6482702730,51.5364475,-0.141183,3,,
40281,6482702732,51.5362284,-0.1418519,3,,
40282,6482702733,51.5365259,-0.1411844,3,,
40283,6483240188,51.4938064,-0.0975479,3,,
40284,6483261725,51.4933472,-0.0973188,3,,
40285,6483285778,51.4942088,-0.0952487,1,,
40286,6483519143,51.5063959,-0.1037995,1,,
40287,6483526298,51.5079936,-0.095698,1,,
40288,6483555663,51.5057212,-0.0908879,3,,
40289,6483555683,51.506103,-0.0908051,1,,
40290,6483733489,51.5130348,-0.1074246,1,,
40291,6483733493,51.5131823,-0.1074908,3,,
40292,6485183092,51.4872321,-0.1144673,3,,
40293,6486259691,51.4938486,-0.0976417,3,,
40294,6486991247,51.5248613,-0.170147,3,,
40295,6489549438,51.5222508,-0.1102919,1,,
40296,6489551789,51.5206205,-0.1538511,3,,
40297,6491174849,51.4942537,-0.1040315,1,,
40298,6491174850,51.4945716,-0.1039565,3,,
40299,6491174851,51.4947914,-0.1038759,1,,
40300,6491174857,51.4939676,-0.1055169,1,,
40301,6491174858,51.4940209,-0.105027,3,,
40302,6491174859,51.4941373,-0.1049789,1,,
40303,6491174867,51.4923102,-0.1082887,3,,
40304,6491174869,51.4918056,-0.1074385,1,,
40305,6491174870,51.4919323,-0.1076588,3,,
40306,6491174873,51.4921146,-0.1079868,3,,
40307,6492276994,51.5238705,-0.1708222,3,,
40308,6492277013,51.5238726,-0.1711398,1,,
40309,6494505395,51.5251788,-0.170938,1,,
40310,6494834980,51.5239672,-0.1734487,3,,
40311,6494834981,51.5239007,-0.1735346,1,,
40312,6497046087,51.5235368,-0.173632,3,,
40313,6497046088,51.5234295,-0.1738036,1,,
40314,6499246829,51.5242317,-0.1739987,3,,
40315,6499246833,51.5241187,-0.1744529,3,,
40316,6501668513,51.5254187,-0.1752627,3,,
40317,6501668517,51.5252105,-0.1757019,3,,
40318,6501668539,51.5244825,-0.1754267,3,,
40319,6501668540,51.5245519,-0.1752822,1,,
40320,6501668541,51.5241644,-0.1749457,3,,
40321,6501668542,51.5242366,-0.1748298,1,,
40322,6501707710,51.5251999,-0.174586,3,,
